Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment,Specifications
McCormick X2.055,,,, 55 hp/41 kW,,,,,https://static.landwirt.com/6428-8648ac42d42b161457bc59390e24331d-4474607-0.jpg,"Air conditioner, Synchronous transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474607,McCormick-X2055.html","Hydraulische Lenkung, 
Kabine, 
Radio
________",Air conditioner|Transmission: Synchronous transmission,Type:: X2.055|hp:: 55 hp / 41 kW
McCormick X3.080F,,,, 75 hp/56 kW,2024,1,,,https://static.landwirt.com/6428-c5b6fb17176ac51f248f10376b4e3890-4474605-0.jpg,"PTO shaft speed (rpm): 540, Air conditioner, Drive: All-wheel drive, Synchronous transmission, Creep speed, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474605,McCormick-X3080F.html","Geschwindigkeit: 40, 
Gänge vorwärts: 16, 
Gänge rückwärts: 16, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Wendeschaltung, 
Diesel
________",Air conditioner|Creep speed|Drive: All-wheel drive|PTO shaft speed (rpm): 540|Top speed in km/h: 40 km/h|Transmission: Synchronous transmission,Front tire specifications: 260/70R16|Rear tire specifications: 360/70R24|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Type:: X3.080F|hp:: 75 hp / 56 kW|Year of construction:: 2024|Working hours:: 1 h|Control units - DW (total): 3
McCormick X5.120,,,, 120 hp/89 kW,2024,1,,,https://static.landwirt.com/6428-91e421b03b31333fb100961ca9dc195d-4474603-0.jpg,"Air-suspended seat, Drive: All-wheel drive, Front hydraulic equipment, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4474603,McCormick-X5120.html","Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Diesel
________",Front hydraulic equipment|Air conditioner|Air-suspended seat|Drive: All-wheel drive,Year of construction:: 2024|Type:: X5.120|hp:: 120 hp / 89 kW|Working hours:: 1 h
McCormick X2.055,,,, 55 hp/41 kW,2024,,,,https://static.landwirt.com/6428-b0049139435210a04cc26c1a761e7e91-4474602-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4474602,McCormick-X2055.html","Kabine
________",,Type:: X2.055|hp:: 55 hp / 41 kW|Year of construction:: 2024
McCormick X2.055,,,, 49 hp/37 kW,2024,1,,,https://static.landwirt.com/6428-820939e0470287fe253183a65861a558-4474601-0.jpg,"Synchronous transmission, Drive: All-wheel drive, ...","https://www.landwirt.com/en/used-farm-machinery,4474601,McCormick-X2055.html","Motor-Zylinderanzahl: 3, 
Hydraulische Lenkung, 
Wendeschaltung, 
Diesel, 
Überrollbügel
________",Drive: All-wheel drive|Transmission: Synchronous transmission,Front tire specifications: 320/70R20|Rear tire specifications: 360/70R24|Control units - DW (total): 3|Type:: X2.055|hp:: 49 hp / 37 kW|Working hours:: 1 h|Year of construction:: 2024
McCormick X4.060,,,, 63 hp/47 kW,2024,2,,,https://static.landwirt.com/6428-6f7b2214c680838b2a16a8bbd6cab319-4474600-0.jpg,"Drive: All-wheel drive, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474600,McCormick-X4060.html","Geschwindigkeit: 40, 
Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Diesel
________",Drive: All-wheel drive|Top speed in km/h: 40 km/h,Working hours:: 2 h|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Control units - DW (total): 2|Type:: X4.060|hp:: 63 hp / 47 kW|Year of construction:: 2024|Front tire specifications: 360/70R20|Rear tire specifications: 360/70R30
McCormick X4.080,,,, 75 hp/56 kW,2024,2,,,https://static.landwirt.com/6428-849575d078c98fb005ec21fcfe53b5db-4474599-0.jpg,"Drive: All-wheel drive, PTO shaft speed (rpm): 540, ...","https://www.landwirt.com/en/used-farm-machinery,4474599,McCormick-X4080.html","Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Diesel
________",Drive: All-wheel drive|PTO shaft speed (rpm): 540,Type:: X4.080|hp:: 75 hp / 56 kW|Working hours:: 2 h|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Control units - DW (total): 2|Year of construction:: 2024|Front tire specifications: 360/70R20|Rear tire specifications: 420/70R30
McCormick X5.085,,,, 86 hp/64 kW,2024,2,,,https://static.landwirt.com/6428-d47c9998f5feaad490aa8edb26ab9f2f-4474598-0.jpg,"PTO shaft speed (rpm): 540, PowerShift transmission, PowerShuttle, Drive: All-wheel drive, ...","https://www.landwirt.com/en/used-farm-machinery,4474598,McCormick-X5085.html","Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Diesel, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung
________",PowerShuttle|Drive: All-wheel drive|PTO shaft speed (rpm): 540|Transmission: PowerShift transmission,Working hours:: 2 h|Rear tire specifications: 480/70R30|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Type:: X5.085|hp:: 86 hp / 64 kW|Year of construction:: 2024|Front tire specifications: 380/70R20|Control units - DW (total): 3
McCormick X5-100 Efficient,,,, 96 hp/71 kW,2024,1,,,https://static.landwirt.com/6428-4a81d09d7c030434e698f438d8869f35-4474597-0.jpg,"Front hydraulic equipment, Air-suspended seat, Drive: All-wheel drive, PowerShuttle, PowerShift transmission, Front PTO (power take-off), 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474597,McCormick-X5-100-Efficient.html","Geschwindigkeit: 40, 
Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Wendeschaltung, 
Diesel, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung
________",Front hydraulic equipment|Front PTO (power take-off)|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Top speed in km/h: 40 km/h|Transmission: PowerShift transmission,Type:: X5-100 Efficient|hp:: 96 hp / 71 kW|Working hours:: 1 h|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Control units - DW (total): 2|Year of construction:: 2024|Front tire specifications: 440/65R24|Rear tire specifications: 540/65R34
McCormick X7.660,EUR 58.700,,, 175 hp/129 kW,2016,,Landbrukssalg AS,7080 H Trondheim – Tromsø,https://static.landwirt.com/9479-c44fde6e9a4009c79d20f3da32fbe1ee-4460823-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4460823,McCormick-X7660.html","== Mer informasjon (NO) ==

Specifications
Hours: approx. 2370
Trinnl's gearbox
Front tire size: 540/65 R28
Rear tire size: 650/65 R38
Front hydraulics
40 km/h
Net weight: 7,275 kg
LED light package
Rotor beam
Climate/ac
Description
2016 Mccormick X7 with 2370 hours
A full service was taken this winter
Winter tires can be included for an additional fee
It is front hydraulics
Can be delivered within a short time",,Type:: X7.660|hp:: 175 hp / 129 kW|Year of construction:: 2016
McCormick 624,EUR 1.800,,,,,,Landbrukssalg AS,7080 H Trondheim – Tromsø,https://static.landwirt.com/9479-6e798b9ef626f1ce03be935691afc160-4460583-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4460583,McCormick-624.html","== Mer informasjon (NO) ==

Description:Rep object.The engine is stuck. It is filled with diesel and oil mixture
so the owner expects it to come loose easily",,Type:: 624
McCormick MTX 140,,,, 144 hp/106 kW,2003,7970,,,https://static.landwirt.com/8454-cb9c057d57b750da8e9025dc4f83a36e-4474145-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4474145,McCormick-MTX-140.html","== Mer information (SV) ==

Information om användning:Objektet har brukats  fram till auktionsstartInformation från nuvarande ägare:Objektet fungerar, inga kända anmärkningar eller felService:Service har genomförts de senaste 12 månaderna i egen regiKommentar om service:Nyservad
Fordonsstatus: Påställd
Senaste godkända besiktning: 20030619
växellåda: Typ: Elektronisk knapphålen
Registrerad hos Transportstyrelsen
Frontlyft
Kopplingsfri fram och back
PTO/Kraftuttag fram
PTO/Kraftuttag bak
Framaxelfjädring
Fri retur
AC Rem bortplockade
Bromsuttag
Dubbelverkande hydrauluttag fram
Dubbelverkande hydrauluttag bak 8 st
Trepunktslyft
Hitchkrok
Frontlastare
Förberedd",,Type:: MTX 140|hp:: 144 hp / 106 kW|Working hours:: 7970 h|Year of construction:: 2003
McCormick MTX 200 Med frontlift,EUR 29.453,,, 200 hp/148 kW,2004,5260,,,https://static.landwirt.com/8401-0974bb9ee764676f74526b1b49eb06f1-4471521-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4471521,McCormick-MTX-200-Med-frontlift.html","== Flere oplysninger (DK) ==

Er til salg: Til salg nu
McCormick MTX 200. Den er registreret første gang den 04/08-2004 og vi har den originale registreringsattest til den. I bag er der 4 dobbeltvirkende fjernudtag
LS-udtag
vognbremseventil
hitchtræk og 540/1000 omd. PTO. På kabinen er der bagrudevisker
teleskopspejle
2 rotorblink og 4 arbejdslygte bagud samt 6 fremad. Inde i kabinen er der luftsæde
passagersæde og aircondition. I fronten er forakslen affjedret og der sidder en original frontlift med 1 dobbeltvirkende fjernudtag ført frem. Vi hjælper gerne med Danmarks bedste brugt finansiering hvis det ønskes og vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte-Udlejning
se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us
then you can see the machine physically for yourself. If you wish
we will be happy to send a lot of pictures and video of it on Wats-App or email
Med førerhus
Vendegear
Frontlift",,Working hours:: 5260 h|Year of construction:: 2004|Type:: MTX 200 Med frontlift|hp:: 200 hp / 148 kW
McCormick CT65V,,,,,,,,,,...,"https://www.landwirt.com/en/used-farm-machinery,4470576,McCormick-CT65V.html",,,Type:: CT65V
McCormick C-Max 90,,,, 83 hp/62 kW,2008,6685,,,https://static.landwirt.com/5479-9e42f366fca5b5a9dc25197c5f1b3632-4470574-0.jpg,"Drive: All-wheel drive, PTO shaft speed (rpm): 540, ...","https://www.landwirt.com/en/used-farm-machinery,4470574,McCormick-C-Max-90.html",Zapfwellengesch.: 540/750 - KRAFTSTOFFTANK: 102 Liter - *Für weitere Informationen - automatische Anhängekupplung - hydraulische Lenkung - Anzahl Zylinder: 4 - Auspuff: oben - Radio - Halter Rundumkennleuchte: links - Wendeschaltung: mechanisch - Hydraulikpumpe l/min: 52 - Kabinenart: Standard -,Drive: All-wheel drive|PTO shaft speed (rpm): 540,hp:: 83 hp / 62 kW|Working hours:: 6685 h|Rear tire specifications: 270/95R44|Rear tire tread depth (%): 20|Type:: C-Max 90|Year of construction:: 2008|Front tire specifications: 250/85R28|Front tire tread depth (%): 60|Control units - DW (total): 4
McCormick C110MAX HC,EUR 26.180,,22.000 excl. VAT 19%,,2012,1800,,,https://static.landwirt.com/4063-9007f4f6bc6fa2e3bae8431543cce55d-4461705-0.jpg,"Drive: All-wheel drive, Synchronous transmission, Platform: Cabin, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4461705,McCormick-C110MAX-HC.html",,Air conditioner|Platform: Cabin|Drive: All-wheel drive|Transmission: Synchronous transmission,Type:: C110MAX HC|Working hours:: 1800 h|Year of construction:: 2012|Front tire specifications: 13.6R38|Rear tire specifications: 13.6r38|Control units - DW (total): 2
McCormick TTX 190,EUR 29.990,,"24.991,67 excl. VAT 20%", 182 hp/134 kW,2011,7766,Wohlmuth GmbH,8342 Gnas,https://static.landwirt.com/3377-e36d2900edf922e614582b3fb30b9267-4429991-1.jpg,"Drive: All-wheel drive, 50 km/h, Three-point hitch (electronic hitch control), Front hydraulic equipment, PTO shaft speed (rpm): 540/1000, top link rear: mechanically, hitch: automatic, PowerShift transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4429991,McCormick-TTX-190.html","Mc Cormick TTX 190 XtraSpeed 50 km/h, Baujahr 2011, 7.766 Betriebsstunden, Fronthydraulik Aigner, EHR, Klimaanlage, Druckluft, 4 Steuergeräte doppelwirkend, Vorderachsfederung, Kabinenfederung, Radio;",4-wheel brake|radio|Air-suspended seat|Air conditioner|Suspended tractor cabin (cab suspension)|Suspended front axle|vehicle papers|Front hydraulic equipment|Three-point hitch (electronic hitch control)|Reverse motion without pressure|Pneumatic (air) brake|external operation PTO|external operation rear hydraulcs|Platform: Cabin|hitch: automatic|Drive: All-wheel drive|Top speed in km/h: 50 km/h|top link rear: mechanically|PTO shaft speed (rpm): 540/1000|Transmission: PowerShift transmission|Supercharger: Turbocharger with intercooler,Front tire specifications: 650/65R42|Front tire tread depth (%): 30|Working hours:: 7766 h|Rear tire specifications: 540/65R30|Control units - DW (total): 4|count of work lights front: 8|count of work lights rear: 4|Type:: TTX 190|Condition state:: Good (condition state 2)|Control units – EW (total): 0|hp:: 182 hp / 134 kW|Year of construction:: 2011|Rear tire tread depth (%): 30|number of cylinders: 6
Mc Cormick X60.50,,,,,2012,3292,,,https://static.landwirt.com/4776-6b2eb022ea212ff8d5355ff4b897cc95-4438669-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4438669,Mc-Cormick-X6050.html","X60.50
 gebr. MC Cormick Schlepper
 Riss im Vorderachsbock
 Breifung vorne 480/65 R 24/60 %
 Bereifung hinten 600/65 R 34/70%
 Dachlucke
 3 Steuergeräte
 Piton Fix",,Type:: X60.50|Working hours:: 3292 h|Year of construction:: 2012
McCormick X7.624 VT-Drive Stage V,EUR 1,,"0,83 excl. VAT 20%", 230 hp/170 kW,2024,7,,,https://static.landwirt.com/4839-e164dc61350f6a09f4a12d4dd3532e51-4434417-0.jpg,"Drive: All-wheel drive, 50 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), Continuously variable transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4434417,McCormick-X7624-VT-Drive-Stage-V.html","Sonderlackierung ,Lenksystemvorrüstung,Auch für Vermietung vorgesehen.",Front hydraulic equipment|Air-suspended seat|Creep speed|Air conditioner|Suspended tractor cabin (cab suspension)|ISOBUS|Suspended front axle|Exhaust brake|Front PTO (power take-off)|vehicle papers|Three-point hitch (electronic hitch control)|Reverse motion without pressure|Pneumatic (air) brake|PowerShuttle|radio|external operation PTO|AdBlue|external operation rear hydraulcs|4-wheel brake|Platform: Cabin|hitch: automatic|Joystick: electric|emission stage: Tier5|Drive: All-wheel drive|top link rear: hyraulic|Top speed in km/h: 50 km/h|bolt size hitch (mm): 38mm|PTO shaft speed (rpm): 540/540E/1000/1000E|Supercharger: Turbocharger with intercooler|Transmission: Continuously variable transmission,Payload/ carrying capacity (kg): 4700|count of work lights rear: 8|hp:: 230 hp / 170 kW|Working hours:: 7 h|Condition state:: Very good (condition state 1)|Front tire specifications: 600/65/30|Front tire tread depth (%): 100|Year of construction:: 24|count of work lights front: 10|count of previous owners: 0|Rear tire specifications: 710/65/42|Rear tire tread depth (%): 100|Control units - DW (total): 6|Own weight (kg): 8300|Control units – DW (electrical): 6|Type:: X7.624 VT-Drive Stage V|Control units – EW (total): 0|Maximum allowed weight (kg): 13000|number of cylinders: 6|serial number/chassis number: .....16150
McCormick X5.085 NEUMASCHINE,EUR 64.141,,53.900 excl. VAT 19%, 75 hp/56 kW,2023,5,,,https://static.landwirt.com/4111-ef222b50eb599006cc7862e1a03b778b-4426116-0.jpg,"PTO shaft speed (rpm): 540/1000, Front loader, Drive: All-wheel drive, Air conditioner, Air-suspended seat, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4426116,McCormick-X5085-NEUMASCHINE.html","Geschwindigkeit: 40, 
Frontladertyp: MI5im, 
Gänge vorwärts: 48, 
Gänge rückwärts: 16, 
Motorhersteller: FPT, 
Motor-Zylinderanzahl: 4, 
Arbeitsscheinwerfer 2x hinten, 
Arbeitsscheinwerfer 2x vorn, 
Heizung, 
Kabine, 
Teil-Lastschaltgetriebe, 
Parallelführung, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Oberlenker mechanisch (hinten), 
Einhebelsteuergerät (mechanisch)
________
4 Zylinder Turbo FPT 3,4L Hubraum
48/16 - 40 Km/H - H/M/L Powershift
540/1000 U/min.
Kabine mit Klimaanlage, Luftsitz
2x DW-Steuergeräte
mech. Hubwerksregelung
AHK Automatisch, Oberlenker

MI5im-Frontlader 
- Parallelführung
- 3. Hydraulikkreislauf
- mech. Verriegelung

Gerne kümmern wir uns auch um den Transport Ihrer neuen Maschine und liefern diese gegen Mehrpreis bei Ihnen an!

Preis gilt für vorhandenen Zustand. Angebot freibleibend. Irrtümer, Änderungen und Zwischenverkauf vorbehalten. Alle Angaben ohne Gewähr.",Front loader|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 40 km/h|PTO shaft speed (rpm): 540/1000,Year of construction:: 2023|Front tire specifications: 380/70 R24|Rear tire specifications: 480/70 R34|Control units - DW (total): 2|Type:: X5.085 NEUMASCHINE|hp:: 75 hp / 56 kW|Working hours:: 5 h
McCormick X 6.430,EUR 57.500,,"48.319,33 excl. VAT 19%", 130 hp/96 kW,2015,2745,Agratec Salching,94330 Salching,https://static.landwirt.com/3899-c3c4a65c39d35f5561ece0738d57a1aa-4395171-0.jpg,"Drive: All-wheel drive, Three-point hitch (electronic hitch control), 40 km/h, Pneumatic (air) brake, Front loader console, Front loader, Suspended front axle, Air-suspended seat, ...","https://www.landwirt.com/en/used-farm-machinery,4395171,McCormick-X-6430.html",,Pneumatic (air) brake|Three-point hitch (electronic hitch control)|Front loader console|Front loader|Suspended front axle|Air-suspended seat|Platform: Cabin|Drive: All-wheel drive|Top speed in km/h: 40 km/h,hp:: 130 hp / 96 kW|Working hours:: 2745 h|Year of construction:: 2015|Front tire specifications: 480/65 R24|Rear tire specifications: 600/65 R34|Control units - DW (total): 3|Type:: X 6.430
MC CORMICK CX 65 L,EUR 36.000,,30.000 excl. VAT 20%,,,,"Unser Lagerhaus WHG, Kärnten, Klagenfurt",9020 Klagenfurt,https://static.landwirt.com/3559-ae07cfb69ed671875bfd23cd0120854d-4387778-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4387778,MC-CORMICK-CX-65-L.html","ca. 2900 Stunden
Mammut Frontlader 
SWE Euro Fronthubwerk + 4 Leitungen
2 DW Steuergeräte
Bereifung 420/70 R30 u. 360/70 R20; Informieren Sie sich bitte vor Fahrt-Antritt telefonisch, ob die von Ihnen angefragte Gebrauchtmaschine aktuell bei uns am Lager steht. Wir inserieren auch Maschinen, die sich noch beim Vorbesitzer bzw. in einer unserer Landtechnik-Niederlassungen befinden; Artnr.:19034338, Standort der Maschine: Werkstätte Hermagor",,Type:: CX 65 L
McCormick CX 95 XS,,,,,,2650,,,https://static.landwirt.com/5331-c986822573ee85845ebc15a02207b604-4376027-0.jpg,"40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4376027,McCormick-CX-95-XS.html",,Top speed in km/h: 40 km/h,Type:: CX 95 XS|Working hours:: 2650 h|Front tire tread depth (%): 70|Rear tire tread depth (%): 80|Control units - DW (total): 2
McCormick X5.085,EUR 59.772,,49.810 excl. VAT 20%, 75 hp/56 kW,2023,7,,,https://static.landwirt.com/8176-c316135ac70681b800e3d104db573ba8-4361984-0.jpg,"Drive: All-wheel drive, 40 km/h, Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/540E, Turbocharger with intercooler, emission stage: Tier5, ...","https://www.landwirt.com/en/used-farm-machinery,4361984,McCormick-X5085.html","Top Ausstattung:

McCormick X5.085 , Neu  ,Ohne Ad Blue, 

Motor FPT, 4 Zylinder, Hubraum 3.400 cm3, 75 PS/55KW,
Abgasstufe 5, DOC, AGR, Ohne SCR
24/24-Gang-Getriebe mit Hi-Lo - 40 km/h
2-fach-Powershift Underdrive 
Elektrohydraulische Wendeschaltung (RPS) 
RS57M-GD006 Elektronische Hubwerksregelung EHR (inkl. Automatisches
Zapfwellenmanagement)
3 Steuergeräte (1 Schwimmstellung mit Mengenregler, 2 Kick out)
Geschwindigkeitssteckdose ISO
2 Zwischennachssteuergeräte ew7dw Standard mit
Einhebelsteuergerät
Fahrersitz luftgefedert mit OPS und zwei Armlehnen
Beifahrersitz
Heckscheibenwischer
Klimaanlage
Kopfstütze 
RS57M-VG533 6 Arbeitsscheinwerfer 2 vonre + 2 hinteres Dach (STD) + 2
an den Griffen (LED)
Bereifung 380/70R24 - 480/70R34

Auspuff seitlich nach oben
Allradvorderachse mechanisch
Dreipunkt Kat. 2 mit Schnellkupplern, Oberlenker
mechanisch
Hubstrebe mechanisch
2 Zusatzhubzylinder
Anhängekupplung EEC automatisch,
schnellhöhenverstellbar, drehbar, Zugmaul mit Bolzen 31.,5mm
Zapfwelle 540/1000 U/min
Zapfwelle elektrohydraulsich
Kabine mit ausstellbarer Frontscheibe

Radiovorbereitung (inkl. Lautsprecher und Antenne)
Vorderrad-Kotflügel schwenkbar

Sofort Verfügbar.",external operation PTO|Three-point hitch (electronic hitch control)|Air conditioner|Air-suspended seat|PowerShuttle|Platform: Cabin|hitch: automatic|emission stage: Tier5|Drive: All-wheel drive|Joystick: mechanically|bolt size hitch (mm): 32mm|Top speed in km/h: 40 km/h|top link rear: mechanically|PTO shaft speed (rpm): 540/540E|Transmission: PowerShift transmission|Supercharger: Turbocharger with intercooler,Type:: X5.085|Year of construction:: 2023|Control units – DW (electrical): 2|count of work lights front: 2|count of work lights rear: 2|Rear tire specifications: 480/70R30|Rear tire tread depth (%): 100|Control units - DW (total): 2|number of cylinders: 4|Working hours:: 7 h|Front tire specifications: 380/70R20|count of previous owners: 0|hp:: 75 hp / 56 kW|Front tire tread depth (%): 100|Control units – EW (total): 2|Maximum allowed weight (kg): 5800|Own weight (kg): 3750
McCormick CX 105 med rigtig fine brede dæk,EUR 24.093,,, 105 hp/78 kW,2006,2407,,,https://static.landwirt.com/8401-a738772e2cf6073df20b5a406d529c63-4327102-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4327102,McCormick-CX-105-med-rigtig-fine-brede-daek.html","== Flere oplysninger (DK) ==

Er til salg: Til salg nu
McCormick CX 105. Den er registreret første gang den 27/10-2006 og vi har den originale registreringsattest til den. I bag er der 2 dobbeltvirkende fjernudtag
fri retur
vognbremseventil og 540/540E/1000 omd. PTO. På kabinen er der teleskopspejle
rotorblink og 2 arbejdslygte bagud samt 4 fremad. Inde i kabinen er der luftsæde og passagersæde. Vi hjælpe gerne med Danmarks bedste brugt finansiering hvis det ønskes og vi tager meget gerne dine brugte traktorer i bytte og Køb-Salg-Bytte-Udlejning
se altid over 100 brugte traktorer til salg på vores webside limas.dk We live in Denmark only 78km from the Danish-German border crossing in Flensburg and only 38km from Billund Airport - BLL. You are very welcome to come and visit us
then you can see the machine physically for yourself. If you wish
we will be happy to send a lot of pictures and video of it on Wats-App or email
Med førerhus
Vendegear
Frontvægte",,Type:: CX 105 med rigtig fine brede dæk|hp:: 105 hp / 78 kW|Working hours:: 2407 h|Year of construction:: 2006
McCormick CX 105 XtraShift,EUR 36.000,,excl. VAT/ mediation, 102 hp/75 kW,2005,6100,Jedinger Landtechnik GmbH,4682 Geboltskirchen,https://static.landwirt.com/3537-1511af6a3d42d57c282ec2621a6a753f-4315452-0.jpg,"Drive: All-wheel drive, 40 km/h, Front hydraulic equipment, Front PTO (power take-off), Three-point hitch (electronic hitch control), PowerShift transmission, Platform: Cabin, PTO shaft speed (rpm): 540/750, ...","https://www.landwirt.com/en/used-farm-machinery,4315452,McCormick-CX-105-XtraShift.html","Mc Cormick CX 105, 
Gebrauchttraktor, Baujahr 2005, Ca. 6100 Betriebsstunden 
Privatverkauf (Standort beim Endkunden)
Großer Service bei 6.000h durchgeführt
Lastschaltgetriebe mit 4 Gängen, 3 Lastschaltstufen und 3 Gruppen vorwärts und rückwärts

Mit Stoll Frontlader FZ 30 mit Parallelführung und 3. Funktion
Mit elektrischem Kreuzhebelsteuergerät (umschaltbar zw. Fronthydraulik und Frontlader)
Mit Hinterachsabstützung 
Mit Druckluftbremse
Mit hydraulischer Anhängerbremse 
Mit Powershuttle
Mit Klimaanlage 
Mit Fronthydraulik und Frontzapfwelle inkl. 1x doppelt wirkendem Anschluss vorne
Mit EHR inkl. beidseitiger Außenbedienung an den Heckkotflügeln
Mit 3 mechanischen Hecksteuergeräten
Mit Luftsitz
Mit 4x Arbeitsscheinwerfer hinten und 4x ASW vorne

Bereifung vorne 440/65 R24 90% und hinten 600/65 R34 30%

ACHTUNG: Standort beim Endkunden, vor der Besichtigung bitte um Terminabsprache!",Front loader|radio|PowerShuttle|Air-suspended seat|Creep speed|Air conditioner|Hydraulic brake valve|Front PTO (power take-off)|vehicle papers|Front loader console|Front hydraulic equipment|Three-point hitch (electronic hitch control)|Reverse motion without pressure|Pneumatic (air) brake|external operation rear hydraulcs|Platform: Cabin|hitch: automatic|Joystick: electric|Drive: All-wheel drive|Top speed in km/h: 40 km/h|bolt size hitch (mm): 38mm|PTO shaft speed (rpm): 540/750|Transmission: PowerShift transmission,count of work lights front: 4|hp:: 102 hp / 75 kW|Condition state:: Good (condition state 2)|Rear tire tread depth (%): 30|Working hours:: 6100 h|Year of construction:: 2005|Own weight (kg): 4000|Type:: CX 105 XtraShift|Front tire specifications: 440/65 R24|number of cylinders: 4|Control units – DW (electrical): 2|count of work lights rear: 4|count of previous owners: 2|Rear tire specifications: 60065 R34|Front tire tread depth (%): 90|Control units - DW (total): 5
McCormick MTX 140,EUR 29.750,,25.000 excl. VAT 19%, 145 hp/107 kW,2001,11750,,,https://static.landwirt.com/4445-d4ae3ec7459a5f73d4a1000092ee4f22-4313876-0.jpg,"40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4313876,McCormick-MTX-140.html","Geschwindigkeit: 40, 
Gänge vorwärts: 16, 
Gänge rückwärts: 12
________
interne Nummer 29157 - in serienmäßiger Ausstattung - zusätzlich mit Fronthydraulik - 1 und 2 Kreis Druckluftbremsanlage - 3 dw. Hecksteuergeräte - gefederte Vorderachse - Kabine mit Klimaanlage - Rundumleuchte",Top speed in km/h: 40 km/h,Working hours:: 11750 h|Year of construction:: 2001|Front tire specifications: 480/70R28|Rear tire specifications: 580/70R38|Front tire tread depth (%): 50|Rear tire tread depth (%): 30|Type:: MTX 140|hp:: 145 hp / 107 kW
McCormick CX 110,EUR 52.241,,43.900 excl. VAT 19%, 102 hp/75 kW,2012,1777,,,https://static.landwirt.com/3586-a225cc289e8f974fb8d70aabadb36f04-4300118-0.jpg,"Drive: All-wheel drive, Front loader console, PTO shaft speed (rpm): 540/1000, Front loader, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4300118,McCormick-CX-110.html","Geschwindigkeit: 40, 
Arbeitsscheinwerfer 2x hinten, 
Arbeitsscheinwerfer 4x vorn, 
Dreipunkt / Heckhubwerkanhängung, 
Hitch, 
Kabine, 
Diesel, 
Oberlenker mechanisch (hinten), 
3. Steuerkreis
________
Motorheizung",Front loader console|Front loader|Drive: All-wheel drive|Top speed in km/h: 40 km/h|PTO shaft speed (rpm): 540/1000,hp:: 102 hp / 75 kW|Working hours:: 1777 h|Front tire specifications: 440/65 R24|Front tire tread depth (%): 60|Type:: CX 110|Year of construction:: 2012|Rear tire specifications: 600/65 R34|Rear tire tread depth (%): 70|Control units - DW (total): 3
