Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment,Specifications
McCormick X4.070,,,, 70 hp/52 kW,2024,1,,,https://static.landwirt.com/6428-3794040f3fc2690a924369acc54895dd-4474638-0.jpg,"Front loader, PowerShuttle, Air conditioner, PowerShift transmission, Front loader console, Drive: All-wheel drive, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474638,McCormick-X4070.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Hydraulische Lenkung, 
Kabine, 
Parallelführung, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",Front loader console|Front loader|Air conditioner|PowerShuttle|Drive: All-wheel drive|Top speed in km/h: 40 km/h|Transmission: PowerShift transmission,Type:: X4.070|hp:: 70 hp / 52 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 360/70R20|Rear tire specifications: 420/70R30|Control units - DW (total): 2
McCormick X6.135,,,, 135 hp/100 kW,2024,1,,,https://static.landwirt.com/6428-529e721dad858ebbff7d8a96e66d9771-4474625-0.jpg,"Air-suspended seat, Three-point hitch (electronic hitch control), Suspended front axle, Drive: All-wheel drive, Air conditioner, PowerShift transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, PowerShuttle, ...","https://www.landwirt.com/en/used-farm-machinery,4474625,McCormick-X6135.html","Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Diesel, 
Zugmaul - automatisch, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Oberlenker mechanisch (hinten)
________",Three-point hitch (electronic hitch control)|Suspended front axle|Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Transmission: PowerShift transmission|PTO shaft speed (rpm): 540/540E/1000/1000E,Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 480/65R24|Rear tire specifications: 540/65R38|Control units - DW (total): 5|Type:: X6.135|hp:: 135 hp / 100 kW
McCormick X7.621 VT-Drive,,,, 210 hp/155 kW,2024,1,,,https://static.landwirt.com/6428-b1b3fa88c27afa6b09d0249ba498cc3e-4474624-0.jpg,"Front hydraulic equipment, Three-point hitch (electronic hitch control), Drive: All-wheel drive, Front PTO (power take-off), 50 km/h, Air-suspended seat, Continuously variable transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4474624,McCormick-X7621-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Dreipunkt / Heckhubwerkanhängung, 
Kabine, 
Wendeschaltung, 
Lastabhängiger Zusatz-Hydraulikkreis (Power Beyond, Load Sensing), 
Diesel, 
ISOBUS, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Kabinenfederung (hydraulisch), 
Abgasnachbehandlung / AdBlue, 
Oberlenker hydraulisch (hinten)
________",Three-point hitch (electronic hitch control)|Front hydraulic equipment|Front PTO (power take-off)|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,hp:: 210 hp / 155 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 600/65R28|Rear tire specifications: 710/70R38|Control units - DW (total): 6|Type:: X7.621 VT-Drive
McCormick X7.624 VT-Drive,,,, 240 hp/177 kW,2024,1,,,https://static.landwirt.com/6428-4b22d96769227f522f4d22f5ca757835-4474623-0.jpg,"Drive: All-wheel drive, Front PTO (power take-off), Three-point hitch (electronic hitch control), Front hydraulic equipment, 50 km/h, Air conditioner, Air-suspended seat, Continuously variable transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474623,McCormick-X7624-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Wendeschaltung, 
Lastabhängiger Zusatz-Hydraulikkreis (Power Beyond, Load Sensing), 
Diesel, 
ISOBUS, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Kabinenfederung (hydraulisch), 
Abgasnachbehandlung / AdBlue, 
Oberlenker hydraulisch (hinten)
________",Three-point hitch (electronic hitch control)|Front hydraulic equipment|Front PTO (power take-off)|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,Type:: X7.624 VT-Drive|hp:: 240 hp / 177 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 600/60R30|Rear tire specifications: 710/60R42|Control units - DW (total): 6
McCormick X7.618 VT-Drive,,,, 180 hp/133 kW,2024,1,,,https://static.landwirt.com/6428-0c3daa84d782fb8eafaf29ee86a56520-4474622-0.jpg,"Front hydraulic equipment, Three-point hitch (electronic hitch control), Drive: All-wheel drive, 50 km/h, Suspended front axle, Air conditioner, Air-suspended seat, PTO shaft speed (rpm): 540/540E/1000/1000E, ...","https://www.landwirt.com/en/used-farm-machinery,4474622,McCormick-X7618-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Hydrauliksteuergeräte-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",Three-point hitch (electronic hitch control)|Front hydraulic equipment|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 540/65R28|Rear tire specifications: 650/65R38|Control units - DW (total): 4|Type:: X7.618 VT-Drive|hp:: 180 hp / 133 kW
McCormick X7.618 VT-Drive,,,, 180 hp/133 kW,2024,1,,,https://static.landwirt.com/6428-54099eca9a8ce4ad1e26f13fa3da6172-4474621-0.jpg,"PTO shaft speed (rpm): 540/540E/1000/1000E, Three-point hitch (electronic hitch control), Drive: All-wheel drive, Front hydraulic equipment, Air conditioner, Air-suspended seat, Continuously variable transmission, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474621,McCormick-X7618-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 6, 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Hydrauliksteuergeräte-Außenbedienung, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",Three-point hitch (electronic hitch control)|Front hydraulic equipment|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,Type:: X7.618 VT-Drive|hp:: 180 hp / 133 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 540/65R28|Rear tire specifications: 650/65R38|Control units - DW (total): 4
McCormick X7.418 VT-Drive,,,, 176 hp/130 kW,2024,1,,,https://static.landwirt.com/6428-f7a9ccf6eaf8fd975bab6c5687aed8a8-4474620-0.jpg,"Drive: All-wheel drive, Front hydraulic equipment, Continuously variable transmission, PTO shaft speed (rpm): 540/540E/1000/1000E, Air-suspended seat, Suspended front axle, Air conditioner, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474620,McCormick-X7418-VT-Drive.html","Geschwindigkeit: 50, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Kugelkopfkupplung (K80), 
Bordcomputer / Monitor, 
Hydraulische Lenkung, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
Abgasnachbehandlung / AdBlue
________",Front hydraulic equipment|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,Type:: X7.418 VT-Drive|hp:: 176 hp / 130 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 540/65R28|Rear tire specifications: 600/65R38|Control units - DW (total): 4
McCormick X6.414,,,, 146 hp/108 kW,2024,1,,,https://static.landwirt.com/6428-2a7a98166e5a7962a8f2bd43cb827a1b-4474619-0.jpg,"Air-suspended seat, Suspended front axle, PTO shaft speed (rpm): 540/540E/1000/1000E, Front hydraulic equipment, Drive: All-wheel drive, Air conditioner, 50 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474619,McCormick-X6414.html","Geschwindigkeit: 50, 
Gänge vorwärts: 24, 
Gänge rückwärts: 24, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Radio, 
Wendeschaltung, 
Diesel, 
Abgasnachbehandlung / AdBlue
________",Front hydraulic equipment|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E,Front tire specifications: 480/65R28|Rear tire specifications: 600/65R38|Control units - DW (total): 5|Type:: X6.414|hp:: 146 hp / 108 kW|Working hours:: 1 h|Year of construction:: 2024
McCormick X6.413,,,, 135 hp/100 kW,2024,1,,,https://static.landwirt.com/6428-3dd2921f9d7583e15ff1246a4c02c097-4474618-0.jpg,"Air-suspended seat, PowerShift transmission, Three-point hitch (electronic hitch control), PowerShuttle, Drive: All-wheel drive, Air conditioner, 40 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474618,McCormick-X6413.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Dreipunkt / Heckhubwerkanhängung, 
Hydraulische Lenkung, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Abgasnachbehandlung / AdBlue
________",Three-point hitch (electronic hitch control)|Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Top speed in km/h: 40 km/h|Transmission: PowerShift transmission,Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 480/65R28|Rear tire specifications: 540/65R38|Control units - DW (total): 4|Type:: X6.413|hp:: 135 hp / 100 kW
McCormick X5.110,,,, 105 hp/78 kW,2024,1,,,https://static.landwirt.com/6428-2c348bd2a917640797542614a1b265f5-4474613-0.jpg,"PowerShift transmission, Three-point hitch (electronic hitch control), Suspended front axle, Air-suspended seat, PowerShuttle, Drive: All-wheel drive, Air conditioner, ...","https://www.landwirt.com/en/used-farm-machinery,4474613,McCormick-X5110.html","Gänge vorwärts: 36, 
Gänge rückwärts: 12, 
Motortyp: FPT, 
Motor-Zylinderanzahl: 4, 
Laststufen: 3, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Wendeschaltung, 
Diesel, 
höhenverstellbare Anhängevorrichtung, 
Heckzapfwelle-Außenbedienung, 
Einhebelsteuergerät (mechanisch)
________",Three-point hitch (electronic hitch control)|Suspended front axle|Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Transmission: PowerShift transmission,hp:: 105 hp / 78 kW|Working hours:: 1 h|Year of construction:: 2024|Rear tire specifications: 480/70R34|Front tire tread depth (%): 100|Rear tire tread depth (%): 100|Control units - DW (total): 5|Type:: X5.110|Front tire specifications: 380/70R24
